Hour,Day,Month,Year,Demand(MW),Day_of_week
7,10,6,2021,8550,5
8,10,6,2021,8594,5
9,10,6,2021,9128,5
10,10,6,2021,9261,5
11,10,6,2021,9438,5
12,10,6,2021,9766,5
13,10,6,2021,9865,5
14,10,6,2021,9868,5
15,10,6,2021,9927,5
16,10,6,2021,9860,5
17,10,6,2021,9398,5
18,10,6,2021,9215,5
19,10,6,2021,10128,5
20,10,6,2021,11519,5
21,10,6,2021,11455,5
22,10,6,2021,11191,5
23,10,6,2021,11322,5
24,10,6,2021,11183,5
1,11,6,2021,11653,6
2,11,6,2021,11276,6
3,11,6,2021,10829,6
4,11,6,2021,10490,6
5,11,6,2021,10097,6
6,11,6,2021,9196,6
7,11,6,2021,8810,6
8,11,6,2021,8543,6
9,11,6,2021,8541,6
10,11,6,2021,8612,6
11,11,6,2021,8690,6
12,11,6,2021,9153,6
13,11,6,2021,9380,6
14,11,6,2021,9296,6
15,11,6,2021,9548,6
16,11,6,2021,9245,6
17,11,6,2021,8645,6
18,11,6,2021,8416,6
19,11,6,2021,10010,6
20,11,6,2021,11269,6
21,11,6,2021,11584,6
22,11,6,2021,11438,6
23,11,6,2021,11321,6
24,11,6,2021,11257,6
1,12,6,2021,10852,7
2,12,6,2021,10446,7
3,12,6,2021,9985,7
4,12,6,2021,9626,7
5,12,6,2021,9255,7
6,12,6,2021,8666,7
7,12,6,2021,8472,7
8,12,6,2021,8530,7
9,12,6,2021,9027,7
10,12,6,2021,9224,7
11,12,6,2021,9671,7
12,12,6,2021,10068,7
13,12,6,2021,10407,7
14,12,6,2021,10507,7
15,12,6,2021,10941,7
16,12,6,2021,10676,7
17,12,6,2021,10284,7
18,12,6,2021,9790,7
19,12,6,2021,11066,7
20,12,6,2021,12525,7
21,12,6,2021,12668,7
22,12,6,2021,12483,7
23,12,6,2021,12330,7
24,12,6,2021,12296,7
1,13,6,2021,11776,1
2,13,6,2021,11479,1
3,13,6,2021,10980,1
4,13,6,2021,10710,1
5,13,6,2021,10384,1
6,13,6,2021,9527,1
7,13,6,2021,9302,1
8,13,6,2021,9380,1
9,13,6,2021,9722,1
10,13,6,2021,10141,1
11,13,6,2021,10418,1
12,13,6,2021,10836,1
13,13,6,2021,11003,1
14,13,6,2021,11174,1
15,13,6,2021,11387,1
16,13,6,2021,11234,1
17,13,6,2021,10710,1
18,13,6,2021,10236,1
19,13,6,2021,11383,1
20,13,6,2021,12512,1
21,13,6,2021,12792,1
22,13,6,2021,12558,1
23,13,6,2021,12628,1
24,13,6,2021,12554,1
1,14,6,2021,12173,2
2,14,6,2021,11712,2
3,14,6,2021,11362,2
4,14,6,2021,11176,2
5,14,6,2021,10855,2
6,14,6,2021,9740,2
7,14,6,2021,9534,2
8,14,6,2021,9441,2
9,14,6,2021,9735,2
10,14,6,2021,10481,2
11,14,6,2021,10603,2
12,14,6,2021,10959,2
13,14,6,2021,11192,2
14,14,6,2021,11131,2
15,14,6,2021,11385,2
16,14,6,2021,11259,2
17,14,6,2021,10647,2
18,14,6,2021,10160,2
19,14,6,2021,11331,2
20,14,6,2021,12641,2
21,14,6,2021,12749,2
22,14,6,2021,12776,2
23,14,6,2021,12752,2
24,14,6,2021,12628,2
1,15,6,2021,12079,3
2,15,6,2021,11663,3
3,15,6,2021,11514,3
4,15,6,2021,11280,3
5,15,6,2021,11051,3
6,15,6,2021,10047,3
7,15,6,2021,9745,3
