Year,Month,Day,Hour,Demand(kW),Day_of_week,Holiday
2021,6,8,19,221.24,3,1
2021,6,8,20,243.62,3,1
2021,6,8,21,248.22,3,1
2021,6,8,22,243.16,3,1
2021,6,8,23,240.36,3,1
2021,6,8,24,230.8,3,1
2021,6,9,1,222.86,4,1
2021,6,9,2,212.72,4,1
2021,6,9,3,207.88,4,1
2021,6,9,4,203.08,4,1
2021,6,9,5,198.8,4,1
2021,6,9,6,185.44,4,1
2021,6,9,7,183.0,4,1
2021,6,9,8,182.86,4,1
2021,6,9,9,191.96,4,1
2021,6,9,10,203.9,4,1
2021,6,9,11,206.72,4,1
2021,6,9,12,211.78,4,1
2021,6,9,13,210.28,4,1
2021,6,9,14,208.52,4,1
2021,6,9,15,217.5,4,1
2021,6,9,16,217.48,4,1
2021,6,9,17,211.0,4,1
2021,6,9,18,200.24,4,1
2021,6,9,19,223.4,4,1
2021,6,9,20,253.66,4,1
2021,6,9,21,256.06,4,1
2021,6,9,22,253.48,4,1
2021,6,9,23,252.24,4,1
2021,6,9,24,245.8,4,1
2021,6,10,1,217.84,5,1
2021,6,10,2,208.16,5,1
2021,6,10,3,202.82,5,1
2021,6,10,4,197.6,5,1
2021,6,10,5,191.92,5,1
2021,6,10,6,173.82,5,1
2021,6,10,7,171.0,5,1
2021,6,10,8,171.88,5,1
2021,6,10,9,182.56,5,1
2021,6,10,10,185.22,5,1
2021,6,10,11,188.76,5,1
2021,6,10,12,195.32,5,1
2021,6,10,13,197.3,5,1
2021,6,10,14,197.36,5,1
2021,6,10,15,198.54,5,1
2021,6,10,16,197.2,5,1
2021,6,10,17,187.96,5,1
2021,6,10,18,184.3,5,1
2021,6,10,19,202.56,5,1
2021,6,10,20,230.38,5,1
2021,6,10,21,229.1,5,1
2021,6,10,22,223.82,5,1
2021,6,10,23,226.44,5,1
2021,6,10,24,223.66,5,1
2021,6,11,1,233.06,6,1
2021,6,11,2,225.52,6,1
2021,6,11,3,216.58,6,1
2021,6,11,4,209.8,6,1
2021,6,11,5,201.94,6,1
2021,6,11,6,183.92,6,1
2021,6,11,7,176.2,6,1
2021,6,11,8,170.86,6,1
2021,6,11,9,170.82,6,1
2021,6,11,10,172.24,6,1
2021,6,11,11,173.8,6,1
2021,6,11,12,183.06,6,1
2021,6,11,13,187.6,6,1
2021,6,11,14,185.92,6,1
2021,6,11,15,190.96,6,1
2021,6,11,16,184.9,6,1
2021,6,11,17,172.9,6,1
2021,6,11,18,168.32,6,1
2021,6,11,19,200.2,6,1
2021,6,11,20,225.38,6,1
2021,6,11,21,231.68,6,1
2021,6,11,22,228.76,6,1
2021,6,11,23,226.42,6,1
2021,6,11,24,225.14,6,1
2021,6,12,1,217.04,7,1
2021,6,12,2,208.92,7,1
2021,6,12,3,199.7,7,1
2021,6,12,4,192.52,7,1
2021,6,12,5,185.1,7,1
2021,6,12,6,173.32,7,1
2021,6,12,7,169.44,7,1
2021,6,12,8,170.6,7,1
2021,6,12,9,180.54,7,1
2021,6,12,10,184.48,7,1
2021,6,12,11,193.42,7,1
2021,6,12,12,201.36,7,1
2021,6,12,13,208.14,7,1
2021,6,12,14,210.14,7,1
2021,6,12,15,218.82,7,1
2021,6,12,16,213.52,7,1
2021,6,12,17,205.68,7,1
2021,6,12,18,195.8,7,1
2021,6,12,19,221.32,7,1
2021,6,12,20,250.5,7,1
2021,6,12,21,253.36,7,1
2021,6,12,22,249.66,7,1
2021,6,12,23,246.6,7,1
2021,6,12,24,245.92,7,1
2021,6,13,1,235.52,1,1
2021,6,13,2,229.58,1,1
2021,6,13,3,219.6,1,1
2021,6,13,4,214.2,1,1
2021,6,13,5,207.68,1,1
2021,6,13,6,190.54,1,1
2021,6,13,7,186.04,1,1
2021,6,13,8,187.6,1,1
2021,6,13,9,194.44,1,1
2021,6,13,10,202.82,1,1
2021,6,13,11,208.36,1,1
2021,6,13,12,216.72,1,1
2021,6,13,13,220.06,1,1
2021,6,13,14,223.48,1,1
2021,6,13,15,227.74,1,1
2021,6,13,16,224.68,1,1
2021,6,13,17,214.2,1,1
2021,6,13,18,204.72,1,1
2021,6,13,19,227.66,1,1
2021,6,13,20,250.24,1,1
2021,6,13,21,255.84,1,1
2021,6,13,22,251.16,1,1
2021,6,13,23,252.56,1,1
2021,6,13,24,251.08,1,1
2021,6,14,1,243.46,2,1
2021,6,14,2,234.24,2,1
2021,6,14,3,227.24,2,1
2021,6,14,4,223.52,2,1
2021,6,14,5,217.1,2,1
2021,6,14,6,194.8,2,1
2021,6,14,7,190.68,2,1
2021,6,14,8,188.82,2,1
2021,6,14,9,194.7,2,1
2021,6,14,10,209.62,2,1
2021,6,14,11,212.06,2,1
2021,6,14,12,219.18,2,1
2021,6,14,13,223.84,2,1
2021,6,14,14,222.62,2,1
2021,6,14,15,227.7,2,1
2021,6,14,16,225.18,2,1
2021,6,14,17,212.94,2,1
2021,6,14,18,203.2,2,1
2021,6,14,19,226.62,2,1
2021,6,14,20,252.82,2,1
2021,6,14,21,254.98,2,1
2021,6,14,22,255.52,2,1
2021,6,14,23,255.04,2,1
2021,6,14,24,252.56,2,1
2021,6,15,1,241.58,3,1
2021,6,15,2,233.26,3,1
2021,6,15,3,230.28,3,1
2021,6,15,4,225.6,3,1
2021,6,15,5,221.02,3,1
